PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3.141721;0.000129;0.000041;16000000;32;106;
3.142018;0.000426;0.000135;16000000;64;126;
3.141151;-0.000442;0.000141;16000000;64;143;
3.141723;0.000130;0.000041;16000000;64;116;
3.141801;0.000208;0.000066;16000000;64;106;
3.140988;-0.000605;0.000192;16000000;64;120;
3.141631;0.000039;0.000012;16000000;64;125;
3.142391;0.000798;0.000254;16000000;64;169;
3.141549;-0.000044;0.000014;16000000;64;143;
3.140957;-0.000636;0.000202;16000000;64;136;
3.142042;0.000450;0.000143;16000000;64;127;
3.141249;-0.000343;0.000109;160000000;1;4494;
3.141576;-0.000017;0.000005;160000000;1;4534;
3.141659;0.000066;0.000021;160000000;1;4514;
3.141563;-0.000030;0.000009;160000000;1;4471;
3.141693;0.000100;0.000032;160000000;1;4528;
3.141633;0.000040;0.000013;160000000;1;4485;
3.141326;-0.000266;0.000085;160000000;1;4528;
3.141658;0.000065;0.000021;160000000;1;4424;
3.141743;0.000150;0.000048;160000000;1;4432;
3.141482;-0.000111;0.000035;160000000;1;4446;
3.141613;0.000020;0.000006;160000000;2;2261;
3.141743;0.000150;0.000048;160000000;2;2250;
3.141555;-0.000037;0.000012;160000000;2;2267;
3.141456;-0.000137;0.000044;160000000;2;2278;
3.141540;-0.000052;0.000017;160000000;2;2269;
3.141429;-0.000164;0.000052;160000000;2;2269;
3.141279;-0.000314;0.000100;160000000;2;2304;
3.141692;0.000100;0.000032;160000000;2;2319;
3.141590;-0.000002;0.000001;160000000;2;2271;
3.141554;-0.000039;0.000012;160000000;2;2235;
3.141472;-0.000121;0.000038;160000000;4;1168;
3.141622;0.000029;0.000009;160000000;4;1155;
3.141185;-0.000407;0.000130;160000000;4;1150;
3.141516;-0.000076;0.000024;160000000;4;1158;
3.141611;0.000018;0.000006;160000000;4;1152;
3.141412;-0.000180;0.000057;160000000;4;1172;
3.141633;0.000041;0.000013;160000000;4;1160;
3.141683;0.000090;0.000029;160000000;4;1161;
3.141223;-0.000370;0.000118;160000000;4;1147;
3.141661;0.000068;0.000022;160000000;4;1158;
3.141717;0.000124;0.000040;160000000;8;588;
3.141594;0.000002;0.000001;160000000;8;588;
3.141769;0.000176;0.000056;160000000;8;618;
3.141467;-0.000126;0.000040;160000000;8;629;
3.141594;0.000002;0.000001;160000000;8;613;
3.141560;-0.000033;0.000010;160000000;8;632;
3.141670;0.000077;0.000025;160000000;8;595;
3.141442;-0.000151;0.000048;160000000;8;616;
3.141430;-0.000162;0.000052;160000000;8;596;
3.141565;-0.000027;0.000009;160000000;8;607;
3.141839;0.000247;0.000079;160000000;16;331;
3.141463;-0.000130;0.000041;160000000;16;338;
3.141456;-0.000136;0.000043;160000000;16;346;
3.141685;0.000093;0.000030;160000000;16;342;
3.141441;-0.000151;0.000048;160000000;16;336;
3.141725;0.000132;0.000042;160000000;16;378;
3.141501;-0.000092;0.000029;160000000;16;341;
3.141638;0.000046;0.000015;160000000;16;337;
3.141780;0.000188;0.000060;160000000;16;360;
3.141692;0.000100;0.000032;160000000;16;341;
3.141397;-0.000196;0.000062;160000000;32;264;
3.141677;0.000084;0.000027;160000000;32;264;
3.141599;0.000007;0.000002;160000000;32;249;
3.141617;0.000025;0.000008;160000000;32;264;
3.141706;0.000113;0.000036;160000000;32;265;
3.141253;-0.000339;0.000108;160000000;32;258;
3.141547;-0.000046;0.000015;160000000;32;252;
3.141567;-0.000026;0.000008;160000000;32;241;
3.141485;-0.000108;0.000034;160000000;32;260;
3.141507;-0.000086;0.000027;160000000;32;262;
3.141616;0.000024;0.000008;160000000;64;374;
3.141528;-0.000065;0.000021;160000000;64;265;
3.141446;-0.000147;0.000047;160000000;64;297;
3.141694;0.000101;0.000032;160000000;64;311;
3.141632;0.000039;0.000012;160000000;64;386;
3.141630;0.000038;0.000012;160000000;64;280;
3.141652;0.000059;0.000019;160000000;64;258;
3.141624;0.000031;0.000010;160000000;64;285;
3.141670;0.000077;0.000025;160000000;64;377;
3.141377;-0.000215;0.000069;160000000;64;278;
3,141574;-0,000019;0,000006;1600000000;1;44798;
3,141590;-0,000003;0,000001;1600000000;1;44999;
3,141630;0,000038;0,000012;1600000000;1;43909;
3,141665;0,000072;0,000023;1600000000;1;43974;
