PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms)
3,142408;0,000815;0,000260;16000000;16;5744;
3,141828;0,000235;0,000075;16000000;16;6160;
3,142264;0,000671;0,000214;16000000;16;6384;
3,141304;-0,000289;0,000092;16000000;16;5712;
3,141316;-0,000277;0,000088;16000000;16;5568;
3,141384;-0,000209;0,000066;16000000;32;7904;
3,140096;-0,001497;0,000476;16000000;32;8160;
3,140176;-0,001417;0,000451;16000000;32;8192;
3,141432;-0,000161;0,000051;16000000;32;8800;
3,143576;0,001983;0,000631;16000000;32;8544;
3,140688;-0,000905;0,000288;16000000;32;8224;
3,142592;0,000999;0,000318;16000000;32;8224;
3,142232;0,000639;0,000204;16000000;32;9088;
3,140992;-0,000601;0,000191;16000000;32;7616;
3,139224;-0,002369;0,000754;16000000;32;8768;
3,141568;-0,000025;0,000008;16000000;64;15040;
3,144128;0,002535;0,000807;16000000;64;11072;
3,136352;-0,005241;0,001668;16000000;64;15296;
3,141440;-0,000153;0,000049;16000000;64;10496;
3,137408;-0,004185;0,001332;16000000;64;10752;
3,147952;0,006359;0,002024;16000000;64;14848;
3,136576;-0,005017;0,001597;16000000;64;11648;
3,142608;0,001015;0,000323;16000000;64;10112;
3,147440;0,005847;0,001861;16000000;64;12480;
3,142128;0,000535;0,000170;16000000;64;17536;
3,134880;-0,006713;0,002137;16000000;128;14976;
3,146528;0,004935;0,001571;16000000;128;23680;
3,143648;0,002055;0,000654;16000000;128;20096;
3,137024;-0,004569;0,001454;16000000;128;15104;
3,145024;0,003431;0,001092;16000000;128;14336;
3,138432;-0,003161;0,001006;16000000;128;19200;
3,144704;0,003111;0,000990;16000000;128;18816;
3,140672;-0,000921;0,000293;16000000;128;15744;
3,128128;-0,013465;0,004286;16000000;128;13824;
3,144128;0,002535;0,000807;16000000;128;18432;
3,141735;0,000142;0,000045;160000000;1;14116;
3,141952;0,000360;0,000115;160000000;1;14511;
3,141417;-0,000175;0,000056;160000000;1;14667;
3,141410;-0,000182;0,000058;160000000;1;15141;
3,141542;-0,000051;0,000016;160000000;1;13860;
3,141617;0,000024;0,000008;160000000;1;14278;
3,141589;-0,000004;0,000001;160000000;1;14018;
3,141474;-0,000119;0,000038;160000000;1;13740;
3,141810;0,000217;0,000069;160000000;1;14358;
3,141670;0,000077;0,000025;160000000;1;13890;
3,141518;-0,000075;0,000024;160000000;2;23912;
3,141586;-0,000006;0,000002;160000000;2;23824;
3,141655;0,000062;0,000020;160000000;2;22732;
3,141705;0,000112;0,000036;160000000;2;22950;
3,141634;0,000041;0,000013;160000000;2;24180;
3,141550;-0,000043;0,000014;160000000;2;24504;
3,141399;-0,000193;0,000061;160000000;2;24320;
3,141615;0,000023;0,000007;160000000;2;24618;
3,141354;-0,000239;0,000076;160000000;2;26528;
3,141637;0,000045;0,000014;160000000;2;27170;
3,141785;0,000192;0,000061;160000000;4;29952;
3,141749;0,000157;0,000050;160000000;4;29816;
3,141871;0,000278;0,000089;160000000;4;30280;
3,141254;-0,000339;0,000108;160000000;4;29240;
3,141612;0,000019;0,000006;160000000;4;28720;
3,141284;-0,000309;0,000098;160000000;4;27816;
3,141321;-0,000272;0,000086;160000000;4;29368;
3,141454;-0,000139;0,000044;160000000;4;27776;
3,142156;0,000564;0,000179;160000000;4;28324;
3,141342;-0,000251;0,000080;160000000;4;30212;
3,141005;-0,000588;0,000187;160000000;8;36504;
3,141596;0,000003;0,000001;160000000;8;37496;
3,142375;0,000783;0,000249;160000000;8;37408;
3,141361;-0,000231;0,000074;160000000;8;37584;
3,141352;-0,000241;0,000077;160000000;8;37136;
3,141116;-0,000477;0,000152;160000000;8;37352;
3,141498;-0,000095;0,000030;160000000;8;37376;
3,141439;-0,000154;0,000049;160000000;8;36696;
3,141951;0,000358;0,000114;160000000;8;37152;
3,141459;-0,000133;0,000042;160000000;8;37240;
3,142142;0,000549;0,000175;160000000;16;49216;
3,141732;0,000140;0,000044;160000000;16;49024;
3,141377;-0,000215;0,000069;160000000;16;48880;
3,141361;-0,000231;0,000074;160000000;16;48816;
3,141788;0,000195;0,000062;160000000;16;48320;
3,141840;0,000248;0,000079;160000000;16;48896;
3,141917;0,000324;0,000103;160000000;16;48272;
3,141046;-0,000547;0,000174;160000000;16;49152;
3,141194;-0,000399;0,000127;160000000;16;48432;
3,142647;0,001055;0,000336;160000000;16;48544;
3,141204;-0,000389;0,000124;160000000;32;61088;
3,139643;-0,001949;0,000621;160000000;32;59520;
3,142105;0,000512;0,000163;160000000;32;59776;
3,140372;-0,001221;0,000389;160000000;32;58560;
3,142410;0,000817;0,000260;160000000;32;61952;
3,142134;0,000541;0,000172;160000000;32;58304;
3,141351;-0,000241;0,000077;160000000;32;58880;
3,140715;-0,000877;0,000279;160000000;32;58304;
3,141709;0,000116;0,000037;160000000;32;59616;
