PI,Difference,Error,Ntot,AvailableProcessors,TimeDuration(ms)
3,140445;-0,001148;0,000365;1600000;1;60;
3,142000;0,000407;0,000130;1600000;1;57;
3,141513;-0,000080;0,000026;1600000;1;62;
3,140753;-0,000840;0,000267;1600000;1;57;
3,142513;0,000920;0,000293;1600000;1;54;
3,140445;-0,001148;0,000365;1600000;1;60;
3,139140;-0,002453;0,000781;1600000;1;53;
3,140988;-0,000605;0,000193;1600000;1;55;
3,141043;-0,000550;0,000175;1600000;1;54;
3,142180;0,000587;0,000187;1600000;1;58;
3,142825;0,001232;0,000392;1600000;1;60;
3,142228;0,000635;0,000202;1600000;1;53;
3,139693;-0,001900;0,000605;1600000;1;54;
3,141450;-0,000143;0,000045;1600000;1;58;
3,140385;-0,001208;0,000384;1600000;1;61;
3,140168;-0,001425;0,000454;1600000;2;36;
3,143843;0,002250;0,000716;1600000;2;29;
3,141328;-0,000265;0,000084;1600000;2;31;
3,143763;0,002170;0,000691;1600000;2;32;
3,140278;-0,001315;0,000419;1600000;2;31;
3,140168;-0,001425;0,000454;1600000;2;36;
3,143593;0,002000;0,000637;1600000;2;32;
3,142278;0,000685;0,000218;1600000;2;31;
3,141745;0,000152;0,000048;1600000;2;31;
3,142098;0,000505;0,000161;1600000;2;30;
3,138933;-0,002660;0,000847;1600000;2;32;
3,144160;0,002567;0,000817;1600000;2;30;
3,141283;-0,000310;0,000099;1600000;2;29;
3,142318;0,000725;0,000231;1600000;2;30;
3,140105;-0,001488;0,000474;1600000;2;32;
3,142218;0,000625;0,000199;1600000;4;31;
3,143908;0,002315;0,000737;1600000;4;18;
3,141445;-0,000148;0,000047;1600000;4;19;
3,138830;-0,002763;0,000879;1600000;4;17;
3,139303;-0,002290;0,000729;1600000;4;19;
3,142218;0,000625;0,000199;1600000;4;31;
3,140805;-0,000788;0,000251;1600000;4;19;
3,141663;0,000070;0,000022;1600000;4;19;
3,142650;0,001057;0,000337;1600000;4;19;
3,142130;0,000537;0,000171;1600000;4;18;
3,142448;0,000855;0,000272;1600000;4;17;
3,140643;-0,000950;0,000302;1600000;4;17;
3,142028;0,000435;0,000138;1600000;4;18;
3,142443;0,000850;0,000271;1600000;4;18;
3,139958;-0,001635;0,000520;1600000;4;19;
3,142070;0,000477;0,000152;1600000;8;13;
3,140928;-0,000665;0,000212;1600000;8;11;
3,141470;-0,000123;0,000039;1600000;8;12;
