Date;Number of Workers;Total Throws;Estimated Pi;Error;Execution Time (ms)
2024-11-29 16:19:29;4;160000000;3,14171023;3,74241422e-05;1190
2024-11-29 16:19:31;4;160000000;3,14143608;4,98405131e-05;1183
2024-11-29 16:19:32;4;160000000;3,14156845;7,70424191e-06;1184
2024-11-29 16:24:54;8;1600000;3,13941500;6,93168666e-04;197
2024-11-29 16:25:00;8;1600000;3,14279250;3,81922974e-04;30
2024-11-29 16:25:00;8;1600000;3,13931750;7,24203880e-04;32
2024-11-29 16:25:01;8;1600000;3,14178750;6,20215387e-05;29
2024-11-29 16:25:02;8;1600000;3,14043250;3,69288357e-04;30
2024-11-29 16:25:02;8;1600000;3,14194000;1,10563796e-04;32
2024-11-29 16:25:03;8;1600000;3,14335250;5,60176511e-04;25
2024-11-29 16:25:04;8;1600000;3,14159000;8,44663865e-07;30
2024-11-29 16:25:04;8;1600000;3,13964250;6,20753167e-04;27
2024-11-29 16:25:05;8;1600000;3,13986750;5,49133443e-04;33
2024-11-29 16:25:55;8;16000000;3,14172675;4,26842131e-05;324
2024-11-29 16:25:57;8;16000000;3,14187850;9,09877383e-05;241
2024-11-29 16:25:58;8;16000000;3,14132250;8,59925584e-05;241
2024-11-29 16:25:59;8;16000000;3,14153725;1,76355104e-05;224
2024-11-29 16:26:00;8;16000000;3,14201550;1,34596193e-04;242
2024-11-29 16:26:01;8;16000000;3,14135650;7,51700223e-05;313
2024-11-29 16:26:01;8;16000000;3,14152550;2,13756515e-05;222
2024-11-29 16:26:02;8;16000000;3,14234175;2,38444793e-04;220
2024-11-29 16:26:02;8;16000000;3,14180850;6,87060463e-05;232
2024-11-29 16:26:03;8;16000000;3,14134100;8,01038255e-05;255
2024-11-29 16:28:50;8;160000000;3,14171155;3,78459028e-05;613
2024-11-29 16:28:52;8;160000000;3,14173038;4,38380864e-05;583
2024-11-29 16:28:54;8;160000000;3,14171303;3,83154099e-05;593
2024-11-29 16:28:55;8;160000000;3,14186948;8,81149916e-05;605
2024-11-29 16:28:55;8;160000000;3,14154883;1,39510734e-05;605
2024-11-29 16:28:56;8;160000000;3,14182493;7,39342861e-05;600
2024-11-29 16:28:57;8;160000000;3,14143720;4,94824145e-05;604
2024-11-29 16:28:58;8;160000000;3,14142165;5,44321332e-05;611
2024-11-29 16:28:59;8;160000000;3,14146865;3,94715686e-05;605
2024-11-29 16:28:59;8;160000000;3,14161698;7,74174531e-06;621
2024-12-02 09:23:48;16;1600000;3,14050250;3,47006665e-04;76
2024-12-02 09:23:56;16;1600000;3,13923000;7,52055995e-04;23
2024-12-02 09:23:57;16;1600000;3,14222500;2,01282114e-04;22
2024-12-02 09:23:58;16;1600000;3,14133250;8,28094596e-05;22
2024-12-02 09:23:59;16;1600000;3,14043500;3,68492582e-04;23
2024-12-02 09:24:00;16;1600000;3,14256250;3,08711700e-04;22
2024-12-02 09:24:00;16;1600000;3,14348750;6,03148345e-04;21
2024-12-02 09:24:01;16;1600000;3,14000750;5,04570059e-04;27
2024-12-02 09:24:02;16;1600000;3,14319750;5,10838478e-04;19
2024-12-02 09:24:03;16;1600000;3,14130750;9,07672067e-05;20
2024-12-02 09:31:20;16;16000000;3,14109500;1,58408058e-04;95
2024-12-02 09:31:24;16;16000000;3,14169175;3,15433671e-05;59
2024-12-02 09:31:25;16;16000000;3,14180000;6,60004122e-05;54
2024-12-02 09:31:26;16;16000000;3,14167100;2,49384369e-05;49
2024-12-02 09:31:27;16;16000000;3,14103025;1,79018623e-04;50
2024-12-02 09:31:27;16;16000000;3,14156975;7,29043906e-06;76
2024-12-02 09:31:28;16;16000000;3,14244625;2,71708176e-04;55
2024-12-02 09:31:29;16;16000000;3,14192000;1,04197599e-04;61
2024-12-02 09:31:30;16;16000000;3,14144375;4,73974847e-05;49
2024-12-02 09:31:30;16;16000000;3,14140475;5,98115703e-05;52
2024-12-02 09:34:25;16;160000000;3,14139530;6,28195987e-05;356
2024-12-02 09:34:27;16;160000000;3,14169285;3,18935079e-05;331
2024-12-02 09:34:28;16;160000000;3,14186360;8,62449210e-05;320
2024-12-02 09:34:29;16;160000000;3,14149638;3,06464270e-05;341
2024-12-02 09:34:30;16;160000000;3,14151515;2,46701588e-05;343
2024-12-02 09:34:31;16;160000000;3,14161478;7,04146357e-06;317
2024-12-02 09:34:32;16;160000000;3,14133940;8,06131213e-05;365
2024-12-02 09:34:33;16;160000000;3,14147160;3,85325544e-05;335
2024-12-02 09:34:34;16;160000000;3,14156228;9,66980546e-06;335
2024-12-02 09:34:35;16;160000000;3,14184200;7,93694275e-05;321
2024-12-02 10:06:40;20;1600000;3,14142500;5,33657951e-05;23
2024-12-02 10:06:40;20;1600000;3,14121250;1,21006646e-04;14
2024-12-02 10:06:40;20;1600000;3,14249000;2,85634234e-04;26
2024-12-02 10:06:41;20;1600000;3,14198000;1,23296192e-04;23
2024-12-02 10:06:42;20;1600000;3,14148750;3,34714272e-05;20
2024-12-02 10:06:43;20;1600000;3,14185500;8,35074560e-05;22
2024-12-02 10:06:43;20;1600000;3,14266250;3,40542689e-04;16
2024-12-02 10:06:44;20;1600000;3,14184000;7,87328077e-05;21
2024-12-02 10:06:44;20;1600000;3,14033500;4,00323571e-04;23
2024-12-02 10:06:45;20;1600000;3,14104500;1,74323552e-04;19
2024-12-02 10:10:49;20;16000000;3,14125225;1,08353828e-04;61
2024-12-02 10:10:50;20;16000000;3,14116375;1,36524253e-04;65
2024-12-02 10:10:50;20;16000000;3,14209700;1,60538448e-04;64
2024-12-02 10:10:51;20;16000000;3,14134000;8,04221354e-05;62
2024-12-02 10:10:51;20;16000000;3,14163625;1,38771684e-05;64
2024-12-02 10:10:52;20;16000000;3,14109200;1,59362987e-04;62
2024-12-02 10:10:53;20;16000000;3,14090450;2,19046091e-04;61
2024-12-02 10:10:55;20;16000000;3,14147950;3,60179063e-05;54
2024-12-02 10:10:55;20;16000000;3,14161625;7,51097065e-06;62
2024-12-02 10:10:56;20;16000000;3,14162500;1,02961822e-05;65
2024-12-02 10:12:59;20;160000000;3,14172978;4,36471005e-05;282
2024-12-02 10:12:59;20;160000000;3,14112400;1,49177071e-04;291
2024-12-02 10:13:00;20;160000000;3,14132970;8,37007272e-05;294
2024-12-02 10:13:01;20;160000000;3,14155757;1,11658619e-05;290
2024-12-02 10:13:03;20;160000000;3,14157135;6,78114324e-06;298
2024-12-02 10:13:04;20;160000000;3,14127855;9,99822779e-05;299
2024-12-02 10:13:05;20;160000000;3,14158063;3,82881905e-06;296
2024-12-02 10:13:06;20;160000000;3,14158915;1,11522727e-06;298
2024-12-02 10:13:06;20;160000000;3,14151225;2,55932575e-05;297
2024-12-02 10:13:07;20;160000000;3,14185298;8,28628785e-05;301
2024-12-02 10:19:02;24;1600000;3,14170929;3,71269851e-05;18
2024-12-02 10:19:03;24;1600000;3,14190929;1,00788644e-04;25
2024-12-02 10:19:04;24;1600000;3,14388428;7,29447526e-04;24
2024-12-02 10:19:04;24;1600000;3,14305678;4,66047412e-04;23
2024-12-02 10:19:04;24;1600000;3,14263179;3,30766387e-04;21
2024-12-02 10:19:05;24;1600000;3,14070680;2,81977080e-04;25
2024-12-02 10:19:06;24;1600000;3,14090430;2,19111192e-04;21
2024-12-02 10:19:07;24;1600000;3,14083680;2,40597002e-04;25
2024-12-02 10:19:08;24;1600000;3,13894181;8,43791220e-04;22
2024-12-02 10:19:08;24;1600000;3,14312678;4,88328993e-04;20
2024-12-02 10:31:29;24;16000000;3,14141968;5,50594296e-05;56
2024-12-02 10:31:29;24;16000000;3,14169943;3,39877165e-05;60
2024-12-02 10:31:30;24;16000000;3,14140693;5,91178786e-05;61
2024-12-02 10:31:32;24;16000000;3,14244343;2,70810153e-04;61
2024-12-02 10:31:33;24;16000000;3,14185868;8,46785405e-05;56
2024-12-02 10:31:33;24;16000000;3,14179743;6,51820698e-05;59
2024-12-02 10:31:34;24;16000000;3,14189343;9,57398036e-05;55
2024-12-02 10:31:34;24;16000000;3,14176268;5,41208067e-05;55
2024-12-02 10:31:35;24;16000000;3,14183243;7,63229102e-05;63
2024-12-02 10:31:35;24;16000000;3,14077068;2,61642442e-04;60
2024-12-02 10:22:51;24;160000000;3,14168447;2,92254077e-05;268
2024-12-02 10:22:52;24;160000000;3,14156284;9,48903032e-06;271
2024-12-02 10:22:53;24;160000000;3,14147289;3,81210031e-05;268
2024-12-02 10:22:54;24;160000000;3,14143942;4,87764261e-05;266
2024-12-02 10:22:55;24;160000000;3,14182117;7,27383669e-05;267
2024-12-02 10:22:56;24;160000000;3,14167257;2,54375202e-05;268
2024-12-02 10:22:58;24;160000000;3,14157164;6,68790346e-06;265
2024-12-02 10:22:59;24;160000000;3,14150314;2,84921296e-05;266
2024-12-02 10:23:00;24;160000000;3,14146157;4,17258624e-05;268
2024-12-02 10:23:00;24;160000000;3,14142024;5,48800178e-05;266
2024-12-02 09:49:27;32;1600000;3,14167500;2,62116765e-05;24
2024-12-02 09:49:28;32;1600000;3,14199250;1,27275065e-04;27
2024-12-02 09:49:28;32;1600000;3,13870750;9,18372911e-04;22
2024-12-02 09:49:29;32;1600000;3,14288000;4,09775089e-04;23
2024-12-02 09:49:29;32;1600000;3,14115250;1,40105239e-04;22
2024-12-02 09:49:30;32;1600000;3,14212250;1,68655351e-04;24
2024-12-02 09:49:30;32;1600000;3,14384000;7,15352580e-04;29
2024-12-02 09:49:31;32;1600000;3,14236000;2,44253948e-04;26
2024-12-02 09:49:31;32;1600000;3,14217000;1,83775070e-04;23
2024-12-02 09:49:32;32;1600000;3,14289250;4,13753963e-04;22
2024-12-02 09:53:28;32;16000000;3,14114350;1,42970028e-04;47
2024-12-02 09:53:28;32;16000000;3,14144225;4,78749495e-05;55
2024-12-02 09:53:29;32;16000000;3,14153475;1,84312851e-05;55
2024-12-02 09:53:30;32;16000000;3,14066925;2,93928492e-04;46
2024-12-02 09:53:30;32;16000000;3,14176175;5,38250591e-05;53
2024-12-02 09:53:31;32;16000000;3,14148775;3,33918497e-05;54
2024-12-02 09:53:32;32;16000000;3,14110000;1,56816508e-04;57
2024-12-02 09:53:33;32;16000000;3,14187775;9,07490059e-05;46
2024-12-02 09:53:33;32;16000000;3,14164700;1,72989996e-05;55
2024-12-02 09:53:34;32;16000000;3,14132850;8,40826991e-05;52
2024-12-02 09:56:12;32;160000000;3,14148483;3,43229061e-05;239
2024-12-02 09:56:13;32;160000000;3,14134250;7,96263607e-05;238
2024-12-02 09:56:14;32;160000000;3,14160283;3,23766043e-06;246
2024-12-02 09:56:15;32;160000000;3,14168210;2,84716767e-05;244
2024-12-02 09:56:15;32;160000000;3,14160073;2,56920966e-06;268
2024-12-02 09:56:16;32;160000000;3,14158430;2,65903022e-06;224
2024-12-02 09:56:17;32;160000000;3,14148783;3,33679765e-05;264
2024-12-02 09:56:18;32;160000000;3,14177843;5,91328764e-05;252
2024-12-02 09:56:18;32;160000000;3,14181553;7,09421732e-05;249
2024-12-02 09:56:19;32;160000000;3,14145843;4,27262871e-05;256
