PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms)
3,138776;-0,002817;0,000897;16000000;32;53;
3,144832;0,003239;0,001031;16000000;32;59;
3,139792;-0,001801;0,000573;16000000;64;33;
3,144720;0,003127;0,000995;16000000;64;34;
3,144032;0,002439;0,000776;16000000;64;30;
3,136448;-0,005145;0,001638;16000000;64;30;
3,144720;0,003127;0,000995;16000000;64;32;
3,141408;-0,000185;0,000059;16000000;64;33;
3,136048;-0,005545;0,001765;16000000;64;34;
3,148896;0,007303;0,002325;16000000;64;37;
3,141888;0,000295;0,000094;16000000;64;31;
3,143056;0,001463;0,000466;16000000;64;30;
3,141467;-0,000126;0,000040;160000000;1;14473;
3,141502;-0,000091;0,000029;160000000;1;14867;
3,141782;0,000189;0,000060;160000000;1;14703;
3,141713;0,000121;0,000038;160000000;1;14475;
3,141672;0,000079;0,000025;160000000;1;14607;
3,141551;-0,000041;0,000013;160000000;1;15015;
3,141615;0,000022;0,000007;160000000;1;14401;
3,141581;-0,000012;0,000004;160000000;1;14596;
3,141567;-0,000026;0,000008;160000000;1;14439;
3,141845;0,000252;0,000080;160000000;1;14083;
3,141488;-0,000105;0,000033;160000000;2;6727;
3,141770;0,000177;0,000056;160000000;2;6657;
3,141144;-0,000449;0,000143;160000000;2;6741;
3,141393;-0,000200;0,000064;160000000;2;7065;
3,141438;-0,000154;0,000049;160000000;2;6817;
3,141389;-0,000204;0,000065;160000000;2;6500;
3,141514;-0,000078;0,000025;160000000;2;6594;
3,141361;-0,000232;0,000074;160000000;2;6589;
3,141703;0,000110;0,000035;160000000;2;6625;
3,141545;-0,000048;0,000015;160000000;2;6756;
3,141599;0,000006;0,000002;160000000;4;3125;
3,141647;0,000054;0,000017;160000000;4;3092;
3,141865;0,000272;0,000087;160000000;4;3124;
3,141676;0,000083;0,000027;160000000;4;3159;
3,141353;-0,000240;0,000076;160000000;4;3111;
3,141749;0,000156;0,000050;160000000;4;3113;
3,141689;0,000096;0,000031;160000000;4;3078;
3,141888;0,000295;0,000094;160000000;4;3114;
3,141555;-0,000038;0,000012;160000000;4;3230;
3,141770;0,000177;0,000056;160000000;4;3175;
